Market ID,Market Name,Market Description,Lockup Time (in seconds),Input Token ID,Input Token Name,Input Token Symbol,Input Token Decimals,Input Raw Amount (in Wei),Input Token Amount (in decimals),Input Token Amount (in USD),Incentive Token ID,Incentive Token Name,Incentive Token Symbol,Incentive Token Decimals,Incentive Raw Amount (in Wei),Incentive Token Amount (in decimals)
1_0_0x1e0a98a276ba873cfa427e247c7d0e438f604a54fcb36481063e1220af021faf,Supply USDC on Dolomite,Supply USDC into the Dolomite money market on Berachain. This asset will earn lending yield.,7776000,1-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6,29283486404483,29283486.404483,29271755.639494345,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,2635514526403470000000000,2635514.52640347
1_0_0xe92ebafbee7aa7a636ff62e04aa2ab9353f60ef72dcdcfdfcf48b67a7ad8ffc7,Beraborrow SBTC Boyco,"Single sided Liquid Stability Pool:
Deposit SBTC into Boyco. SBTC is bridged &amp; deposited into Beraborrow. SBTC is then used to mint NECT at 300% collateral ratio, and then NECT is supplied into the Liquid Stability Pool.
This is part of the Berachain Boyco pre-deposit campaign",7776000,1-0x094c0e36210634c3cfa25dc11b96b562e0b07624,StakeStone Bitcoin,SBTC,18,91941311706835225426,91.941311706835225426,8629534.535552638,1-0xfbca1de031ac44e83850634c098f22137e4647e5,Beraborrow Points Program,bPOLLEN,18,389294192076885244000000000,389294192.076885244
1_0_0x2fa37184f43783f5d6b23548c4a7a21bb86cd2f314bba9d5bb7d2415d61d11c8,Provide pumpBTC.bera-ylBTCLST Liquidity on Kodiak,"Deposit pumpBTC.bera-ylBTCLST Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, provide liquidity in the pumpBTC.bera-ylBTCLST Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, Cian, PumpBTC, and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign.    

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~1x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x8a05bc1665059d5e19e30a66cf077f090f88609f,CIAN YIELD Layer fBTC-pumpBTC.bera LP Token,ylBTCLST-pumpBTC.bera,18,9891748362,0.000000009891748362,18936652.81230248,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,199809080959883650000000000,199809080.95988365
1_0_0xabf4b2f17bc32faf4c3295b1347f36d21ec5629128d465b5569e600bf8d46c4f,Veda x Ether.fi eBTC Vault - LBTC Supply,"After mainnet, vaults will run DeFi strategies on Berachain protocols participating in Boyco. Examples of applications include: Kodiak, Infrared, and Dolomite. eBTC supplied will be converted to eBTC on mainnet for DeFi usage.",7776000,1-0x8236a87084f8b84306f72007f36f2618a5634494,Lombard Staked BTC,LBTC,8,303463850692,3034.63850692,295395060.95393693,1-0x3badc21d6bff9248ae4c3923093e04d505a52fef,Veda Crayons,VCrayons,18,273117461122950000000000000,273117461.12295
1_0_0xff917303af9337534eece4b88948d609980b66ca0b41875da782aec4858cade5,Supply pumpBTC on Dolomite,Supply pumpBTC into the Dolomite money market on Berachain. This asset will be collateral only.,2592000,1-0xadc9c900b05f39f48bb6f402a1bae60929f4f9a8,pumpBTC.bera,pumpBTC.bera,8,258249797,2.58249797,242391.09717261934,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,3098997564000000000000,3098.997564
1_0_0xad9ee12ea8b3dccf85934c2918bd4ad38ccf7bc8b43d5fcb6f298858aa4c9ca4,"Infrared x Kodiak sUSDe-HONEY LP, Boyco","Deposit sUSDe-USDC Uniswap V2 LP token(s) on Ethereum Mainnet and bridge the assets to Berachain. On Berachain, mint HONEY with all of the USDC, then provide liquidity in the sUSDe-HONEY Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. Finally, stake the Island receipt token in the respective Infrared iBGT-compatible Vault. 
  
Earn DEX LP fees, sUSDe staking yield, as well as rewards from Berachain, Ethena, Infrared and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign. 

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~3x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x2289f64e11a3c6a3e23d5f0c705bb0bb7661278a,Ethena Staked USDe-USDC LP Token,sUSDe-USDC,18,6739384117017539054,6.739384117017539054,14442552.48016149,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,433783970572035337500000000,433783970.5720353375
1_0_0x3d7cf2bd0a04fd3c66a5fa334a399b3926efe0fc0450b8da49a5da29f2c36d7f,Supply sUSDe to Concrete x Ethena Vault,"When sUSDe is supplied to this market, it is allocated across leading Berachain DEXs and lending applications such as Kodiak, Dolomite, and Beraborrow. The vault will also allocate to yield opportunities from leading protocols expanding to Berachain. This is part of the Berachain Boyco pre-deposit campaign.",7776000,1-0x9d39a5de30e57443bff2a8307a4256c8797a3497,Ethena Staked USDe,sUSDe,18,43103173817593613605270409,43103173.817593613605270409,49456054.24173746,1-0x5f979f9f7024b41c325a7a39c89cd65e5f6a5f6d,Concrete Boyco Bags,CBAGS,18,51292776652936399113952000,51292776.652936399113952
1_0_0x42a09eccabf1080c40a24522e9e8adbee5a0ad907188c9b6e50ba26ba332eac3,Supply SBTC on Dolomite,Supply SBTC into the Dolomite money market on Berachain. This asset will earn lending yield.,7776000,1-0x094c0e36210634c3cfa25dc11b96b562e0b07624,StakeStone Bitcoin,SBTC,18,25091185181255647463,25.091185181255647463,2355037.6325933468,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,167202123350709700950700,167202.1233507097009507
1_0_0x092c0c4d8d124fc29364e8cd8417198c4bbe335e3f6c4b1f79215a3457b4831a,Supply sUSDe on Dolomite,Supply sUSDe into the Dolomite money market on Berachain. This asset will be collateral only.,7776000,1-0x9d39a5de30e57443bff2a8307a4256c8797a3497,Ethena Staked USDe,sUSDe,18,26346235247410191261041,26346.235247410191261041,30229.347958818995,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,731839867983614000000,731.839867983614
1_0_0x0964848864e96952ee2454ce58fc93b867f9b2d9a6b44216eec8b08726813d1b,"D2 Finance dgnBeraland, Boyco","dgnBeraland is a one-click solution for 1-3x leveraged upside exposure to BERA, while staying protected from market swings. By fully leveraging partners like Beraborrow, IVX, and OOGA Booga, the strategy delivers sophisticated leverage through options + additional yield, while D2 actively manages positions.

What sets dgnBeraland apart is its options-based strategy, turning market movements into opportunities for bigger gains. Unlike traditional BERA staking or vanilla leverage, it combines smart risk management with advanced tools to optimize returns.",2592000,1-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6,690000000000,690000.0,689723.5907046596,1-0x6a8b97bd31394075cb6dbd88dbb65808575b1a48,D2 Finance EDA incetives,EDA points,18,689999999999999946180000,689999.99999999994618
